file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00597_0124_776032_to_778916,ཆོས་གསུམ་བྱང་སེམས་ཀྱི་རྒྱུར་སྟོན་པ་འདི་ ,chos gsum byang sems kyi rgyur ston pa 'di _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00597_0124_776032_to_778916.wav,STT_AB,2,40,2.884,wav16k/STT_AB00597_0124_776032_to_778916.wav,ཆོས་གསུམ་བྱང་སེམས་ཀྱི་རྒྱུར་སྟོན་པ་འདི།
STT_NS_M0491_0739_5367738_to_5374889,ཨོ་འདི་ངའི་གཤིས་ཀ་དེ་སྡུག་ཤོས་འདྲ་བོ་མཐོང་གི་འདུག་རཱ། ང་རང་ཀ་ཅི། ཨེ་ནས། ཨེ་ནས་གཞན་པ།  ,o 'di nga'i gshis ka de sdug shos 'dra bo mthong gi 'dug rA/_nga rang ka ci/_e nas/_e nas gzhan pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0491_0739_5367738_to_5374889.wav,STT_NS,2,86,7.151,wav16k/STT_NS_M0491_0739_5367738_to_5374889.wav,ཨོ་དེ་ངའི་གཤིས་ཀ་དེ་སྡུག་ཤོས་འདྲ་བོ་མཐོང་གི་འདུག་རཱ། ང་རང་ཀ་ཅི་ཨེ་ནས་ཨེ་ནས་གཞན་པ།
STT_AB00488_0186_621732_to_622500,དེའི་དུས་སུ་ ,de'i dus su _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00488_0186_621732_to_622500.wav,STT_AB,2,13,0.768,wav16k/STT_AB00488_0186_621732_to_622500.wav,དེའི་དུས་སུ་
STT_AB00597_0127_787738_to_792090,བྱང་སེམས་ཀྱི་རྣམ་འཇོག་གི་རྒྱུར་མི་རུང་བས་སྐྱེད་བྱེད་ཀྱི་རྒྱུའོ།  ,byang sems kyi rnam 'jog gi rgyur mi rung bas skyed byed kyi rgyu'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00597_0127_787738_to_792090.wav,STT_AB,2,65,4.352,wav16k/STT_AB00597_0127_787738_to_792090.wav,བྱང་སེམས་ཀྱི་རྣམ་འཇོག་གི་རྒྱུར་མི་རུང་བས་སྐྱེད་བྱེད་ཀྱི་རྒྱུའོ།
STT_AB00643_0154_1120011_to_1122133,དུས་གསུམ་གྱི་རྒྱལ་བ་དེ་དག་གི་སྤྱོད་པ་ཀུན།  ,dus gsum gyi rgyal ba de dag gi spyod pa kun/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00643_0154_1120011_to_1122133.wav,STT_AB,2,43,2.122,wav16k/STT_AB00643_0154_1120011_to_1122133.wav,དུས་གསུམ་གྱི་རྒྱལ་བ་དེ་དག་གི་སྤྱོད་པ་ཀུན།
STT_NS_M0492_0005_26049_to_33131,ད་དང་ཤོས་དྲི་བ་དེ་ག་རེ་རེད་ཤག་ལབ་ན། ཨེ་ནས་ཁྱེད་རང་ཀ་ཅི་ད་ག་རེ་བྱེད་ཡ་དགའ་བོ་ཡོད་ལབ་ཡ་ཅིག་ཡོད་བ། ཁྱོད་རང་ག་རེ་བྱེད་ཡ་དགའ་བོ་ཡོད་ལབ་ཤག་རཱ།  ,da dang shos dri ba de ga re red shag lab na/_e nas khyed rang ka ci da ga re byed ya dga' bo yod lab ya cig yod ba/_khyod rang ga re byed ya dga' bo yod lab shag rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0492_0005_26049_to_33131.wav,STT_NS,2,138,7.082,wav16k/STT_NS_M0492_0005_26049_to_33131.wav,ད་དང་ཤོས་དྲི་བ་དེ་ག་རེ་རེད་ཤག་ལབ་ན་ ཨེ་ནས་ཁྱེད་རང་ཀ་ཅི་ཨ་ད་ག་རེ་བྱེད་ཡ་དགའ་བོ་ཡོད་ལབ་ཡ་ཅིག་ཡོད་བ། ཁྱོད་རང་ག་རེ་བྱེད་ཡ་དགའ་བོ་ཡོད་ལབ་ཤག་རཱ།
STT_TT00794_0121_874974_to_879189,ཨ་རྣམ་ངེས་ཀི་སྐབས་ལ། ཨིག བརྒྱད་ཀི་སྒང་ལ་ཡང་བསྐྱར་ཐོལ་བ་གཉིས་སྦྱར་ནས་བཅུ།  ,a rnam nges ki skabs la/_ig_brgyad ki sgang la yang bskyar thol ba gnyis sbyar nas bcu/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00794_0121_874974_to_879189.wav,STT_TT,2,74,4.215,wav16k/STT_TT00794_0121_874974_to_879189.wav,ཨ་རྣམ་ངེས་ཀི་སྐབས་ལ། བརྒྱད་ཀི་སྒང་ལ་ཡང་བསྐྱར་ཐོས་པེ་གཉིས་སྦྱར་ནས་བཅུ།
STT_AB00597_0136_838899_to_841715,ཟླ་བ་ཚེས་པ་ལྟ་བུའི་བྱང་སེམས་སུ་བཤད་པ་དང་།  ,zla ba tshes pa lta bu'i byang sems su bshad pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00597_0136_838899_to_841715.wav,STT_AB,2,43,2.816,wav16k/STT_AB00597_0136_838899_to_841715.wav,ཟླ་བ་ཚེས་པ་ལྟ་བུའི་བྱང་སེམས་སུ་བཤད་པ་དང་།
STT_AB00597_0137_842534_to_848284,སྨན་གྱི་ལྗོན་ཤིང་གི་མྱུ་གུ་ལྟ་བུའི་བྱང་སེམས་སུ་བཤད་པ་དང་འགལ་བར་འགྱུར་རོ་ཞེ་ན།  ,sman gyi ljon shing gi myu gu lta bu'i byang sems su bshad pa dang 'gal bar 'gyur ro zhe na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00597_0137_842534_to_848284.wav,STT_AB,2,79,5.75,wav16k/STT_AB00597_0137_842534_to_848284.wav,སྨན་གྱི་ལྗོན་ཤིང་གི་མྱུ་གུ་ལྟ་བུའི་བྱང་སེམས་སུ་བཤད་པ་དང་འགལ་བར་འགྱུར་རོ་ཞེ་ན།
STT_AB00643_0155_1122549_to_1124928,བདག་གི་སྤྱོད་ཚུལ་ཀུན་སྟོན་པ་དེ་བཞིན་དུ།  ,bdag gi spyod tshul kun ston pa de bzhin du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00643_0155_1122549_to_1124928.wav,STT_AB,2,41,2.379,wav16k/STT_AB00643_0155_1122549_to_1124928.wav,བདག་གིས་སྤྱོད་ཚུལ་ཀུན་སྟོན་པ་དེ་བཞིན་དུ།
